who_sixteen_to_sixtyfour,rate,date ,data_type 
NO ,76.85,1/1/2023,Labor Force Participation Rate 
PWD,39.65,1/1/2023,Labor Force Participation Rate 
PWD ,7.5,1/1/2023,Unemployment rate 
NO ,3.75,1/1/2023,Unemployment rate 
PWD,39.1,12/1/2022,Labor Force Participation Rate 
NO ,76.9,12/1/2022,Labor Force Participation Rate 
PWD ,5.35,12/1/2022,Unemployment rate 
NO ,3.15,12/1/2022,Unemployment rate 
PWD,38.85,11/1/2022,Labor Force Participation Rate 
NO ,77,11/1/2022,Labor Force Participation Rate 
PWD ,6.05,11/1/2022,Unemployment rate 
NO ,3.25,11/1/2022,Unemployment rate 
PWD,38.65,10/1/2022,Labor Force Participation Rate 
NO ,77.15,10/1/2022,Labor Force Participation Rate 
PWD ,8.2,10/1/2022,Unemployment rate 
NO ,3.3,10/1/2022,Unemployment rate 
PWD,38.05,9/1/2022,Labor Force Participation Rate 
NO ,77.15,9/1/2022,Labor Force Participation Rate 
PWD ,8.3,9/1/2022,Unemployment rate 
NO ,3.15,9/1/2022,Unemployment rate 
PWD,37.65,8/1/2022,Labor Force Participation Rate 
NO ,77.5,8/1/2022,Labor Force Participation Rate 
PWD ,7.9,8/1/2022,Unemployment rate 
NO ,3.65,8/1/2022,Unemployment rate 
PWD,37.3,7/1/2022,Labor Force Participation Rate 
NO ,77.85,7/1/2022,Labor Force Participation Rate 
PWD ,7.85,7/1/2022,Unemployment rate 
NO ,3.65,7/1/2022,Unemployment rate 
PWD,38.05,6/1/2022,Labor Force Participation Rate 
NO ,77.65,6/1/2022,Labor Force Participation Rate 
PWD ,8.35,6/1/2022,Unemployment rate 
NO ,3.7,6/1/2022,Unemployment rate 
PWD,37.25,5/1/2022,Labor Force Participation Rate 
NO ,77.2,5/1/2022,Labor Force Participation Rate 
PWD ,7.85,5/1/2022,Unemployment rate 
NO ,3.25,5/1/2022,Unemployment rate 
PWD,37.5,4/1/2022,Labor Force Participation Rate 
NO ,76.95,4/1/2022,Labor Force Participation Rate 
PWD ,9,4/1/2022,Unemployment rate 
NO ,3.1,4/1/2022,Unemployment rate 
PWD,37.75,3/1/2022,Labor Force Participation Rate 
NO ,77.25,3/1/2022,Labor Force Participation Rate 
PWD ,9.75,3/1/2022,Unemployment rate 
NO ,3.5,3/1/2022,Unemployment rate 
PWD,36.65,2/1/2022,Labor Force Participation Rate 
NO ,76.95,2/1/2022,Labor Force Participation Rate 
PWD ,9.7,2/1/2022,Unemployment rate 
NO ,3.95,2/1/2022,Unemployment rate 
PWD,37.5,1/1/2022,Labor Force Participation Rate 
NO ,76.45,1/1/2022,Labor Force Participation Rate 
PWD ,9.65,1/1/2022,Unemployment rate 
NO ,4.25,1/1/2022,Unemployment rate 
PWD,36.75,12/1/2021,Labor Force Participation Rate 
NO ,76.65,12/1/2021,Labor Force Participation Rate 
PWD ,8.5,12/1/2021,Unemployment rate 
NO ,3.6,12/1/2021,Unemployment rate 
PWD,37.7,11/1/2021,Labor Force Participation Rate 
NO ,76.8,11/1/2021,Labor Force Participation Rate 
PWD ,8.1,11/1/2021,Unemployment rate 
NO ,3.75,11/1/2021,Unemployment rate 
PWD,36.8,10/1/2021,Labor Force Participation Rate 
NO ,76.7,10/1/2021,Labor Force Participation Rate 
PWD ,9.9,10/1/2021,Unemployment rate 
NO ,4.1,10/1/2021,Unemployment rate 
PWD,36.4,9/1/2021,Labor Force Participation Rate 
NO ,76.6,9/1/2021,Labor Force Participation Rate 
PWD ,9.7,9/1/2021,Unemployment rate 
NO ,4.45,9/1/2021,Unemployment rate 
PWD,35.65,8/1/2021,Labor Force Participation Rate 
NO ,76.85,8/1/2021,Labor Force Participation Rate 
PWD ,11.5,8/1/2021,Unemployment rate 
NO ,5.1,8/1/2021,Unemployment rate 
PWD,35.25,7/1/2021,Labor Force Participation Rate 
NO ,77.65,7/1/2021,Labor Force Participation Rate 
PWD ,12.65,7/1/2021,Unemployment rate 
NO ,5.4,7/1/2021,Unemployment rate 
PWD,35.45,6/1/2021,Labor Force Participation Rate 
NO ,77.25,6/1/2021,Labor Force Participation Rate 
PWD ,10.95,6/1/2021,Unemployment rate 
NO ,5.95,6/1/2021,Unemployment rate 
PWD,34.25,5/1/2021,Labor Force Participation Rate 
NO ,76.4,5/1/2021,Labor Force Participation Rate 
PWD ,11.15,5/1/2021,Unemployment rate 
NO ,5.3,5/1/2021,Unemployment rate 
PWD,33.65,4/1/2021,Labor Force Participation Rate 
NO ,76.25,4/1/2021,Labor Force Participation Rate 
PWD ,10.35,4/1/2021,Unemployment rate 
NO ,5.65,4/1/2021,Unemployment rate 
PWD,33.35,3/1/2021,Labor Force Participation Rate 
NO ,76.2,3/1/2021,Labor Force Participation Rate 
PWD ,11.15,3/1/2021,Unemployment rate 
NO ,6.05,3/1/2021,Unemployment rate 
PWD,33.45,2/1/2021,Labor Force Participation Rate 
NO ,76.1,2/1/2021,Labor Force Participation Rate 
PWD ,13.95,2/1/2021,Unemployment rate 
NO ,6.35,2/1/2021,Unemployment rate 
PWD,32.85,1/1/2021,Labor Force Participation Rate 
NO ,75.6,1/1/2021,Labor Force Participation Rate 
PWD ,12.55,1/1/2021,Unemployment rate 
NO ,6.7,1/1/2021,Unemployment rate 
PWD,33.15,12/1/2020,Labor Force Participation Rate 
NO ,75.8,12/1/2020,Labor Force Participation Rate 
PWD ,11.45,12/1/2020,Unemployment rate 
NO ,6.4,12/1/2020,Unemployment rate 
PWD,33.55,11/1/2020,Labor Force Participation Rate 
NO ,75.95,11/1/2020,Labor Force Participation Rate 
PWD ,13.4,11/1/2020,Unemployment rate 
NO ,6.2,11/1/2020,Unemployment rate 
PWD,33.3,10/1/2020,Labor Force Participation Rate 
NO ,76.3,10/1/2020,Labor Force Participation Rate 
PWD ,12.3,10/1/2020,Unemployment rate 
NO ,6.5,10/1/2020,Unemployment rate 
PWD,32.7,9/1/2020,Labor Force Participation Rate 
NO ,75.8,9/1/2020,Labor Force Participation Rate 
PWD ,13.5,9/1/2020,Unemployment rate 
NO ,7.55,9/1/2020,Unemployment rate 
PWD,33.25,12/1/2019,Labor Force Participation Rate 
NO ,77.4,12/1/2019,Labor Force Participation Rate 
PWD ,7.9,12/1/2019,Unemployment rate 
NO ,3.25,12/1/2019,Unemployment rate 
PWD,33.75,11/1/2019,Labor Force Participation Rate 
NO ,77.6,11/1/2019,Labor Force Participation Rate 
PWD ,7.6,11/1/2019,Unemployment rate 
NO ,3.2,11/1/2019,Unemployment rate 
PWD,33.25,10/1/2019,Labor Force Participation Rate 
NO ,77.75,10/1/2019,Labor Force Participation Rate 
PWD ,7.55,10/1/2019,Unemployment rate 
NO ,3.3,10/1/2019,Unemployment rate 
PWD,33.7,9/1/2019,Labor Force Participation Rate 
NO ,77.5,9/1/2019,Labor Force Participation Rate 
PWD ,6.65,9/1/2019,Unemployment rate 
